secid,date,exdate,strike_price,impl_volatility,best_bid,best_offer,cp_flag,volume,open_interest,delta,gamma,theta,vega,security_name,spot_price,days,rate,mid_price,spread,spread_pct,tau (time to maturity),log_moneyness
214684.0,2025-07-01,2025-08-01,100.0,0.6751,0.82,0.9,P,290.0,826.0,-0.069903,0.005224,-19.8819,5.104571,PLTR,130.68,30.0,4.464699,0.86,0.08000000000000007,0.09302325581395357,0.08493150684931507,-0.26758140074477804
214684.0,2025-07-01,2025-08-01,100.0,0.6751,0.82,0.9,P,290.0,826.0,-0.069903,0.005224,-19.8819,5.104571,PLTR,130.68,60.0,4.440042,0.86,0.08000000000000007,0.09302325581395357,0.08493150684931507,-0.26758140074477804
214684.0,2025-07-01,2025-08-01,105.0,0.634831,1.16,1.25,P,356.0,351.0,-0.097839,0.007154,-23.99322,6.567332,PLTR,130.68,30.0,4.464699,1.205,0.09000000000000008,0.07468879668049799,0.08493150684931507,-0.21879123657534608
214684.0,2025-07-01,2025-08-01,105.0,0.634831,1.16,1.25,P,356.0,351.0,-0.097839,0.007154,-23.99322,6.567332,PLTR,130.68,60.0,4.440042,1.205,0.09000000000000008,0.07468879668049799,0.08493150684931507,-0.21879123657534608
214684.0,2025-07-01,2025-08-01,110.0,0.630664,22.9,23.25,C,126.0,64.0,0.853042,0.009575,-36.46434,8.755983,PLTR,130.68,30.0,4.464699,23.075,0.3500000000000014,0.015167930660888469,0.08493150684931507,-0.17227122094045325
214684.0,2025-07-01,2025-08-01,110.0,0.630664,22.9,23.25,C,126.0,64.0,0.853042,0.009575,-36.46434,8.755983,PLTR,130.68,60.0,4.440042,23.075,0.3500000000000014,0.015167930660888469,0.08493150684931507,-0.17227122094045325
214684.0,2025-07-01,2025-08-01,110.0,0.610006,1.75,1.86,P,925.0,859.0,-0.140697,0.00963,-29.69465,8.498631,PLTR,130.68,30.0,4.464699,1.8050000000000002,0.1100000000000001,0.060941828254847695,0.08493150684931507,-0.17227122094045325
214684.0,2025-07-01,2025-08-01,110.0,0.610006,1.75,1.86,P,925.0,859.0,-0.140697,0.00963,-29.69465,8.498631,PLTR,130.68,60.0,4.440042,1.8050000000000002,0.1100000000000001,0.060941828254847695,0.08493150684931507,-0.17227122094045325
214684.0,2025-07-01,2025-08-01,115.0,0.58686,2.61,2.7,P,1355.0,885.0,-0.197001,0.012441,-35.31794,10.5486,PLTR,130.68,30.0,4.464699,2.6550000000000002,0.0900000000000003,0.033898305084745874,0.08493150684931507,-0.12781945836961944
214684.0,2025-07-01,2025-08-01,115.0,0.58686,2.61,2.7,P,1355.0,885.0,-0.197001,0.012441,-35.31794,10.5486,PLTR,130.68,60.0,4.440042,2.6550000000000002,0.0900000000000003,0.033898305084745874,0.08493150684931507,-0.12781945836961944
