date,days,rate
2025-07-01,30.0,4.464699
2025-07-01,60.0,4.440042
2025-07-02,30.0,4.476199
2025-07-02,60.0,4.449428
2025-07-03,30.0,4.480785
2025-07-03,60.0,4.453197
2025-07-07,30.0,4.490412
2025-07-07,60.0,4.461497
2025-07-08,30.0,4.499197
2025-07-08,60.0,4.469252
2025-07-09,30.0,4.512247
2025-07-09,60.0,4.480704
2025-07-10,30.0,4.528961
2025-07-10,60.0,4.495256
2025-07-11,30.0,4.54502
2025-07-11,60.0,4.509129
2025-07-14,30.0,4.563649
2025-07-14,60.0,4.525213
2025-07-15,30.0,4.575505
2025-07-15,60.0,4.535652
2025-07-16,30.0,4.580463
2025-07-16,60.0,4.54022
2025-07-17,30.0,4.587898
2025-07-17,60.0,4.547184
2025-07-18,30.0,4.58791
2025-07-18,60.0,4.547659
2025-07-21,30.0,4.592029
2025-07-21,60.0,4.55168
2025-07-22,30.0,4.605876
2025-07-22,60.0,4.564075
2025-07-23,30.0,4.621638
2025-07-23,60.0,4.578037
2025-07-24,30.0,4.634236
2025-07-24,60.0,4.589279
2025-07-25,30.0,4.635559
2025-07-25,60.0,4.590834
2025-07-28,30.0,4.643799
2025-07-28,60.0,4.598343
2025-07-29,30.0,4.651685
2025-07-29,60.0,4.605518
2025-07-30,30.0,4.664879
2025-07-30,60.0,4.617354
2025-07-31,30.0,4.67767
2025-07-31,60.0,4.629023
2025-08-01,30.0,4.672558
2025-08-01,60.0,4.624768
2025-08-04,30.0,4.669713
2025-08-04,60.0,4.622136
2025-08-05,30.0,4.661017
2025-08-05,60.0,4.614389
2025-08-06,30.0,4.653378
2025-08-06,60.0,4.607391
2025-08-07,30.0,4.664805
2025-08-07,60.0,4.61662
2025-08-08,30.0,4.675421
2025-08-08,60.0,4.625142
2025-08-11,30.0,4.692449
2025-08-11,60.0,4.639228
2025-08-12,30.0,4.711141
2025-08-12,60.0,4.654647
2025-08-13,30.0,4.72807
2025-08-13,60.0,4.668529
2025-08-14,30.0,4.738647
2025-08-14,60.0,4.677092
2025-08-15,30.0,4.743799
2025-08-15,60.0,4.681082
2025-08-18,30.0,4.737787
2025-08-18,60.0,4.675686
2025-08-19,30.0,4.737034
2025-08-19,60.0,4.674813
2025-08-20,30.0,4.722409
2025-08-20,60.0,4.662136
2025-08-21,30.0,4.708793
2025-08-21,60.0,4.650438
2025-08-22,30.0,4.701514
2025-08-22,60.0,4.644089
2025-08-25,30.0,4.689495
2025-08-25,60.0,4.633666
2025-08-26,30.0,4.684068
2025-08-26,60.0,4.628758
2025-08-27,30.0,4.674994
2025-08-27,60.0,4.6208
2025-08-28,30.0,4.662718
2025-08-28,60.0,4.610172
2025-08-29,30.0,4.661416
2025-08-29,60.0,4.60868
