secid,date,spot_price,security_name
102434.0,2025-07-01,2197.539,RUT
102434.0,2025-07-02,2226.377,RUT
102434.0,2025-07-03,2249.036,RUT
102434.0,2025-07-07,2214.226,RUT
102434.0,2025-07-08,2228.738,RUT
102434.0,2025-07-09,2252.49,RUT
102434.0,2025-07-10,2263.41,RUT
102434.0,2025-07-11,2234.827,RUT
102434.0,2025-07-14,2249.729,RUT
102434.0,2025-07-15,2205.053,RUT
102434.0,2025-07-16,2226.985,RUT
102434.0,2025-07-17,2253.681,RUT
102434.0,2025-07-18,2240.005,RUT
102434.0,2025-07-21,2231.133,RUT
102434.0,2025-07-22,2248.759,RUT
102434.0,2025-07-23,2283.129,RUT
102434.0,2025-07-24,2252.133,RUT
102434.0,2025-07-25,2261.068,RUT
102434.0,2025-07-28,2256.727,RUT
102434.0,2025-07-29,2242.962,RUT
102434.0,2025-07-30,2232.396,RUT
102434.0,2025-07-31,2211.649,RUT
102434.0,2025-08-01,2166.78,RUT
102434.0,2025-08-04,2212.303,RUT
102434.0,2025-08-05,2225.67,RUT
102434.0,2025-08-06,2221.286,RUT
102434.0,2025-08-07,2214.718,RUT
102434.0,2025-08-08,2218.419,RUT
102434.0,2025-08-11,2216.511,RUT
102434.0,2025-08-12,2282.779,RUT
102434.0,2025-08-13,2328.057,RUT
102434.0,2025-08-14,2299.08,RUT
102434.0,2025-08-15,2286.523,RUT
102434.0,2025-08-18,2294.47,RUT
102434.0,2025-08-19,2276.606,RUT
102434.0,2025-08-20,2269.351,RUT
102434.0,2025-08-21,2274.096,RUT
102434.0,2025-08-22,2361.948,RUT
102434.0,2025-08-25,2339.173,RUT
102434.0,2025-08-26,2358.597,RUT
102434.0,2025-08-27,2373.796,RUT
102434.0,2025-08-28,2378.413,RUT
102434.0,2025-08-29,2366.417,RUT
108105.0,2025-07-01,6198.01,SPX
108105.0,2025-07-02,6227.42,SPX
108105.0,2025-07-03,6279.35,SPX
108105.0,2025-07-07,6229.98,SPX
108105.0,2025-07-08,6225.52,SPX
108105.0,2025-07-09,6263.26,SPX
