model,greek,mae,rmse,n_samples
Black-Scholes,delta,0.012009431169881684,0.017706525964086412,226
Black-Scholes,gamma,4.381691088450848e-05,7.055491227052732e-05,226
Black-Scholes,vega,319.74869701846245,385.2554650482984,226
Black-Scholes,theta,693.3536883415953,765.0453488603114,226
Heston,delta,1.5848713969932708,3.0810165816909167,226
Heston,gamma,0.0033767396029909516,0.005384622062141676,226
Heston,vega,231288.02774064316,825493.6116804589,226
Heston,theta,2199.0177528199633,5147.390348049478,226
Merton,delta,0.01240932424905852,0.018213660951588974,226
Merton,gamma,4.790797629962618e-05,7.802591206465194e-05,226
Merton,vega,318.5719952403325,384.351412856069,226
Merton,theta,698.0102975195211,769.3111584850043,226
