date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,scheme,kappa,theta,xi,rho,v0,abs_error,sq_error
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,,craig-sneyd,1.5,0.04,0.3,-0.7,0.150775336804,,
2025-08-18,2025-09-19,P,6449.15,5000.0,0.0876712328767123,2.4749999999999996,,craig-sneyd,1.5,0.04,0.3,-0.7,0.150775336804,,
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,,craig-sneyd,1.5,0.04,0.3,-0.7,0.082631526849,,
2025-08-18,2025-09-19,P,6449.15,5500.0,0.0876712328767123,4.9,,craig-sneyd,1.5,0.04,0.3,-0.7,0.082631526849,,
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,,craig-sneyd,1.5,0.04,0.3,-0.7,0.071317838916,,
2025-08-18,2025-09-19,P,6449.15,5600.0,0.0876712328767123,5.699999999999999,,craig-sneyd,1.5,0.04,0.3,-0.7,0.071317838916,,
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,,craig-sneyd,1.5,0.04,0.3,-0.7,0.0660747025,,
2025-08-18,2025-09-19,P,6449.15,5650.0,0.0876712328767123,6.199999999999999,,craig-sneyd,1.5,0.04,0.3,-0.7,0.0660747025,,
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,,craig-sneyd,1.5,0.04,0.3,-0.7,0.06362047736099999,,
2025-08-18,2025-09-19,P,6449.15,5675.0,0.0876712328767123,6.5,,craig-sneyd,1.5,0.04,0.3,-0.7,0.06362047736099999,,
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,,craig-sneyd,1.5,0.04,0.3,-0.7,0.061143936529,,
2025-08-18,2025-09-19,P,6449.15,5700.0,0.0876712328767123,6.800000000000001,,craig-sneyd,1.5,0.04,0.3,-0.7,0.061143936529,,
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,,craig-sneyd,1.5,0.04,0.3,-0.7,0.056444256400000004,,
2025-08-18,2025-09-19,P,6449.15,5750.0,0.0876712328767123,7.5,,craig-sneyd,1.5,0.04,0.3,-0.7,0.056444256400000004,,
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,,craig-sneyd,1.5,0.04,0.3,-0.7,0.054193977616,,
2025-08-18,2025-09-19,P,6449.15,5775.0,0.0876712328767123,7.9,,craig-sneyd,1.5,0.04,0.3,-0.7,0.054193977616,,
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,,craig-sneyd,1.5,0.04,0.3,-0.7,0.052038734399999995,,
2025-08-18,2025-09-19,P,6449.15,5800.0,0.0876712328767123,8.35,,craig-sneyd,1.5,0.04,0.3,-0.7,0.052038734399999995,,
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,,craig-sneyd,1.5,0.04,0.3,-0.7,0.037823637289,,
2025-08-18,2025-09-19,P,6449.15,6000.0,0.0876712328767123,14.75,,craig-sneyd,1.5,0.04,0.3,-0.7,0.037823637289,,
2025-08-18,2025-09-19,P,6449.15,6050.0,0.0876712328767123,17.4,,craig-sneyd,1.5,0.04,0.3,-0.7,0.034797544681000006,,
2025-08-18,2025-09-19,P,6449.15,6050.0,0.0876712328767123,17.4,,craig-sneyd,1.5,0.04,0.3,-0.7,0.034797544681000006,,
2025-08-18,2025-09-19,P,6449.15,6100.0,0.0876712328767123,20.65,,craig-sneyd,1.5,0.04,0.3,-0.7,0.031903318225,,
2025-08-18,2025-09-19,P,6449.15,6100.0,0.0876712328767123,20.65,,craig-sneyd,1.5,0.04,0.3,-0.7,0.031903318225,,
2025-08-18,2025-09-19,P,6449.15,6150.0,0.0876712328767123,24.7,,craig-sneyd,1.5,0.04,0.3,-0.7,0.029170590436,,
2025-08-18,2025-09-19,P,6449.15,6150.0,0.0876712328767123,24.7,,craig-sneyd,1.5,0.04,0.3,-0.7,0.029170590436,,
2025-08-18,2025-09-19,P,6449.15,6300.0,0.0876712328767123,43.05,,craig-sneyd,1.5,0.04,0.3,-0.7,0.021330602500000004,,
