lambda_jump,jump_mean,jump_std,scheme,N_S,N_t,rows_used,rows_failed,mae,mse,rmse
0.01,-0.02,0.05,imex_euler,120,400,60,0,2.8490641681416706,33.930419599096226,5.824982368994452
0.01,-0.01,0.05,imex_euler,120,400,60,0,2.850855795698274,33.95098772817935,5.826747611505011
0.01,-0.005,0.05,imex_euler,120,400,60,0,2.851526938867123,33.95841541374848,5.827384954998982
0.01,0.0,0.05,imex_euler,120,400,60,0,2.8520771783490373,33.964198064916545,5.827881095639868
0.005,-0.02,0.05,imex_euler,120,400,60,0,2.8519001552673546,33.971601253003136,5.828516213669062
0.005,-0.01,0.05,imex_euler,120,400,60,0,2.8527959228788657,33.98234246864048,5.829437577386045
0.005,-0.005,0.05,imex_euler,120,400,60,0,2.853131440955095,33.986193540309344,5.829767880482836
0.005,0.0,0.05,imex_euler,120,400,60,0,2.8534064996411943,33.98918180262549,5.83002416827113
0.01,-0.02,0.03,imex_euler,120,400,60,0,2.8537161419638664,33.99276797303212,5.830331720668398
0.01,-0.01,0.03,imex_euler,120,400,60,0,2.854126589807628,33.999362151265366,5.830897199511012
0.01,-0.005,0.03,imex_euler,120,400,60,0,2.8542690850187724,34.001103110308534,5.831046485006661
0.01,0.0,0.03,imex_euler,120,400,60,0,2.854391877601941,34.00195598582431,5.8311196168338295
0.01,-0.02,0.02,imex_euler,120,400,60,0,2.854395742899501,34.003658035837695,5.831265560394047
0.005,-0.02,0.03,imex_euler,120,400,60,0,2.8543574290890645,34.003746815107256,5.831273172739145
0.005,-0.01,0.03,imex_euler,120,400,60,0,2.85468656928239,34.00710980576785,5.831561523791707
0.01,-0.01,0.02,imex_euler,120,400,60,0,2.8547673199960077,34.007909546410175,5.831630093413863
0.005,-0.005,0.03,imex_euler,120,400,60,0,2.8547836250707133,34.00799539906574,5.831637454357544
0.01,-0.02,0.01,imex_euler,120,400,60,0,2.8547826007371295,34.00808837583461,5.831645426106993
0.005,0.0,0.03,imex_euler,120,400,60,0,2.8548449779439617,34.00843010576528,5.831674725648309
0.01,-0.005,0.02,imex_euler,120,400,60,0,2.8548644022267426,34.00893131623976,5.831717698606455
0.01,0.0,0.02,imex_euler,120,400,60,0,2.8549112353041552,34.009258102128925,5.831745716518247
0.005,-0.02,0.02,imex_euler,120,400,60,0,2.8548469867633304,34.009278773004716,5.831747488789678
0.005,-0.01,0.02,imex_euler,120,400,60,0,2.855032669072297,34.01142988685331,5.831931917199763
0.005,-0.02,0.01,imex_euler,120,400,60,0,2.855040300653898,34.01151950981623,5.831939601008933
0.005,-0.005,0.02,imex_euler,120,400,60,0,2.855081191709942,34.01194535940379,5.831976111011069
0.01,-0.01,0.01,imex_euler,120,400,60,0,2.855074509294444,34.01198686473715,5.831979669437914
0.005,0.0,0.02,imex_euler,120,400,60,0,2.8551045991899215,34.01211064897644,5.831990281968621
0.01,-0.005,0.01,imex_euler,120,400,60,0,2.855147380435345,34.012975078365976,5.832064392508538
0.01,0.0,0.01,imex_euler,120,400,60,0,2.855174740101035,34.013296362799814,5.832091937101113
0.005,-0.01,0.01,imex_euler,120,400,60,0,2.8551862331878746,34.013479923592065,5.832107674211105
0.005,-0.005,0.01,imex_euler,120,400,60,0,2.855222667422898,34.013975289617306,5.83215014292476
0.0001,-0.02,0.05,imex_euler,120,400,60,0,2.8552203902697864,34.01408809467495,5.832159813883271
0.005,0.0,0.01,imex_euler,120,400,60,0,2.8552363469179634,34.0141362454542,5.832163941921918
0.0001,-0.01,0.05,imex_euler,120,400,60,0,2.8552422701904345,34.014311873570975,5.832178998759467
0.0001,-0.005,0.05,imex_euler,120,400,60,0,2.855250410409006,34.01439158290407,5.832185832336283
0.0001,0.0,0.05,imex_euler,120,400,60,0,2.8552570091877554,34.01445324682218,5.832191118852517
0.0001,-0.02,0.03,imex_euler,120,400,60,0,2.8552791517619145,34.0147500331564,5.832216562607771
0.0001,-0.01,0.03,imex_euler,120,400,60,0,2.855285729758078,34.01481858355102,5.832222439478026
0.0001,-0.005,0.03,imex_euler,120,400,60,0,2.8552876695627063,34.01483659145335,5.832223983306313
0.0001,0.0,0.03,imex_euler,120,400,60,0,2.8552888957691787,34.01484544756749,5.832224742546148
0.0001,-0.02,0.02,imex_euler,120,400,60,0,2.855288937438821,34.01486237481044,5.832226193728295
0.0001,-0.01,0.02,imex_euler,120,400,60,0,2.855292649002472,34.01490589389223,5.832229924642223
0.0001,-0.02,0.01,imex_euler,120,400,60,0,2.8552928014614003,34.01490769041706,5.8322300786591965
0.0001,-0.005,0.02,imex_euler,120,400,60,0,2.8552936190931453,34.01491629324947,5.832230816184273
0.0001,0.0,0.02,imex_euler,120,400,60,0,2.8552940870649874,34.0149196361973,5.832231102776818
0.0001,-0.01,0.01,imex_euler,120,400,60,0,2.855295719686293,34.01494711759704,5.832233458770065
0.0001,-0.005,0.01,imex_euler,120,400,60,0,2.85529644834494,34.01495704959507,5.832234310244665
0.0001,0.0,0.01,imex_euler,120,400,60,0,2.8552967219282337,34.01496027486371,5.832234586748351
0.0,0.0,0.01,imex_euler,120,400,60,0,2.855297954074997,34.01497710153116,5.832236029305669
