lambda_jump,jump_mean,jump_std,scheme,N_S,N_t,rows_used,rows_failed,mae,mse,rmse
0.0,0.0,0.01,imex_euler,120,400,60,0,0.17196613231327884,0.04667398318595883,0.2160416237347767
0.0001,0.0,0.01,imex_euler,120,400,60,0,0.1719661437796161,0.04667398604515457,0.2160416303520101
0.0001,-0.005,0.01,imex_euler,120,400,60,0,0.17196614883987577,0.04667398755280985,0.21604163384128033
0.0001,-0.01,0.01,imex_euler,120,400,60,0,0.17196616438241383,0.04667399219836442,0.21604164459280628
0.0001,0.0,0.02,imex_euler,120,400,60,0,0.17196620628828216,0.046674004735920496,0.21604167360933052
0.0001,-0.005,0.02,imex_euler,120,400,60,0,0.17196621158732567,0.04667400633965662,0.21604167732096652
0.0001,-0.02,0.01,imex_euler,120,400,60,0,0.17196622703075637,0.04667401095680298,0.21604168800674323
0.0001,-0.01,0.02,imex_euler,120,400,60,0,0.17196622733802688,0.04667401107335562,0.21604168827648895
0.0001,-0.02,0.02,imex_euler,120,400,60,0,0.17196629032780686,0.046674029987468134,0.21604173205070387
0.0001,0.0,0.03,imex_euler,120,400,60,0,0.1719663101109535,0.04667403579875614,0.21604174550016056
0.0001,-0.005,0.03,imex_euler,120,400,60,0,0.17196631590721892,0.046674037588622555,0.21604174964256923
0.0001,-0.01,0.03,imex_euler,120,400,60,0,0.1719663320081879,0.046674042466781175,0.21604176093242058
0.0001,-0.02,0.03,imex_euler,120,400,60,0,0.1719663955406317,0.04667406162783806,0.2160418052781407
0.005,0.0,0.01,imex_euler,120,400,60,0,0.17196670563152888,0.04667412616037343,0.21604195463005196
0.0001,0.0,0.05,imex_euler,120,400,60,0,0.1719666390744398,0.04667413432532344,0.216041973526728
0.0001,-0.005,0.05,imex_euler,120,400,60,0,0.17196664625849145,0.046674136630183514,0.21604197886101562
0.0001,-0.01,0.05,imex_euler,120,400,60,0,0.17196666365142566,0.04667414198922868,0.21604199126380197
0.0001,-0.02,0.05,imex_euler,120,400,60,0,0.1719667288827362,0.04667416188189855,0.21604203730269383
0.005,-0.005,0.01,imex_euler,120,400,60,0,0.17196695864380668,0.04667420155579346,0.2160421291225243
0.01,0.0,0.01,imex_euler,120,400,60,0,0.17196727894845457,0.046674269161188955,0.2160422855859217
0.01,-0.005,0.01,imex_euler,120,400,60,0,0.1719677849723538,0.046674419978068676,0.21604263463045592
0.005,-0.01,0.01,imex_euler,120,400,60,0,0.17196773576961394,0.046674433898818105,0.21604266684805135
0.01,-0.01,0.01,imex_euler,120,400,60,0,0.17196933922164362,0.04667488479781664,0.2160437103870803
0.005,0.0,0.02,imex_euler,120,400,60,0,0.1719698310595724,0.04667506115716773,0.21604411854333763
0.005,-0.005,0.02,imex_euler,120,400,60,0,0.17197009601049917,0.04667514140394156,0.21604430426174526
0.005,-0.02,0.01,imex_euler,120,400,60,0,0.17197086818015486,0.04667537248303129,0.21604483905669047
0.005,-0.01,0.02,imex_euler,120,400,60,0,0.17197088354360887,0.04667537830858284,0.21604485253896433
0.01,0.0,0.02,imex_euler,120,400,60,0,0.17197352979364317,0.046676140090280385,0.21604661554923832
0.01,-0.005,0.02,imex_euler,120,400,60,0,0.17197405969413632,0.046676300707332655,0.21604698726742905
0.005,-0.02,0.02,imex_euler,120,400,60,0,0.1719740330233069,0.046676325288894066,0.21604704415680875
0.005,0.0,0.03,imex_euler,120,400,60,0,0.1719750221770779,0.04667661650585044,0.21604771812229456
0.005,-0.005,0.03,imex_euler,120,400,60,0,0.1719753119891096,0.04667670612204101,0.21604792552126253
0.01,-0.02,0.01,imex_euler,120,400,60,0,0.171975604029263,0.04667676331786561,0.21604805788959458
0.01,-0.01,0.02,imex_euler,120,400,60,0,0.1719756347563441,0.046676774964629186,0.21604808484369675
0.005,-0.01,0.03,imex_euler,120,400,60,0,0.17197611703479396,0.04667695048436939,0.2160484910485824
0.005,-0.02,0.03,imex_euler,120,400,60,0,0.1719792936418372,0.04667791078031621,0.2160507134455154
0.01,-0.02,0.02,imex_euler,120,400,60,0,0.1719819336958224,0.046678671526298406,0.21605247401105687
0.01,0.0,0.03,imex_euler,120,400,60,0,0.17198391199710505,0.04667925529224415,0.21605382498869152
0.01,-0.005,0.03,imex_euler,120,400,60,0,0.17198449161854473,0.04667943477529828,0.21605424035481988
0.01,-0.01,0.03,imex_euler,120,400,60,0,0.17198610170306575,0.04667992442670784,0.21605537351963233
0.005,0.0,0.05,imex_euler,120,400,60,0,0.17199147025554032,0.046681561596489535,0.21605916225999197
0.005,-0.005,0.05,imex_euler,120,400,60,0,0.1719918294543711,0.04668167701671105,0.21605942936310613
0.01,-0.02,0.03,imex_euler,120,400,60,0,0.17199245488729226,0.04668184959708137,0.2160598287444507
0.005,-0.01,0.05,imex_euler,120,400,60,0,0.17199269909388767,0.04668194601677695,0.2160600518762711
0.005,-0.02,0.05,imex_euler,120,400,60,0,0.1719959606325288,0.046682945575943026,0.2160623650151572
0.01,0.0,0.05,imex_euler,120,400,60,0,0.17201680795826926,0.046689183762612795,0.21607680061175655
0.01,-0.005,0.05,imex_euler,120,400,60,0,0.17201752634804632,0.046689414964454855,0.21607733561031997
0.01,-0.01,0.05,imex_euler,120,400,60,0,0.17201926561192013,0.0466899551025338,0.21607858547883407
0.01,-0.02,0.05,imex_euler,120,400,60,0,0.17202578863521562,0.0466919642734122,0.2160832345958663
