lambda_jump,jump_mean,jump_std,scheme,N_S,N_t,rows_used,rows_failed,mae,mse,rmse
0.0,0.0,0.01,imex_euler,120,400,60,0,3.0349442387161036,17.809707299195352,4.22015489042705
0.0001,0.0,0.01,imex_euler,120,400,60,0,3.0349466717940548,17.809730917637705,4.220157688717058
0.0001,-0.005,0.01,imex_euler,120,400,60,0,3.03494725325124,17.80973613114691,4.220158306408293
0.0001,-0.01,0.01,imex_euler,120,400,60,0,3.0349490195818363,17.80975212841031,4.220160201747122
0.0001,0.0,0.02,imex_euler,120,400,60,0,3.034953732039543,17.809795899324076,4.220165387674288
0.0001,-0.005,0.02,imex_euler,120,400,60,0,3.0349543833212764,17.809800501655193,4.220165932952778
0.0001,-0.01,0.02,imex_euler,120,400,60,0,3.034956224835876,17.809815714258935,4.2201677353227245
0.0001,-0.02,0.01,imex_euler,120,400,60,0,3.0349561617561265,17.809816278472432,4.220167802170008
0.0001,-0.02,0.02,imex_euler,120,400,60,0,3.034963520447141,17.809876935360315,4.220174988713183
0.0001,0.0,0.03,imex_euler,120,400,60,0,3.0349654240071304,17.809900220911462,4.22017774754944
0.0001,-0.005,0.03,imex_euler,120,400,60,0,3.0349661845913305,17.80990200704394,4.220177959167592
0.0001,-0.01,0.03,imex_euler,120,400,60,0,3.034968103564329,17.809913298220224,4.220179296928061
0.0001,-0.02,0.03,imex_euler,120,400,60,0,3.03497545369787,17.809962303758038,4.220185103020724
0.0001,-0.01,0.05,imex_euler,120,400,60,0,3.0350050447014243,17.81015608474788,4.2202080617841435
0.0001,-0.005,0.05,imex_euler,120,400,60,0,3.0350025889587893,17.810160528683287,4.220208588290784
0.0001,-0.02,0.05,imex_euler,120,400,60,0,3.0350136347382235,17.810169777631458,4.220209684083417
0.0001,0.0,0.05,imex_euler,120,400,60,0,3.0350012795856314,17.810172381286524,4.220209992558015
0.005,0.0,0.01,imex_euler,120,400,60,0,3.035065892535166,17.810889299298235,4.220294930368994
0.005,-0.005,0.01,imex_euler,120,400,60,0,3.0350949655377084,17.811150465960747,4.220325872010448
0.005,-0.01,0.01,imex_euler,120,400,60,0,3.035183282483268,17.811952470117042,4.220420887792714
0.01,0.0,0.01,imex_euler,120,400,60,0,3.035187546166292,17.81207349900138,4.220435226253493
0.01,-0.005,0.01,imex_euler,120,400,60,0,3.03524569245974,17.81259683474392,4.22049722600832
0.005,0.0,0.02,imex_euler,120,400,60,0,3.0354189047243065,17.814151804149944,4.220681438363945
0.01,-0.01,0.01,imex_euler,120,400,60,0,3.035422327208303,17.8142052124622,4.220687765336616
0.005,-0.005,0.02,imex_euler,120,400,60,0,3.0354514699804644,17.81438318813399,4.220708849012686
0.005,-0.01,0.02,imex_euler,120,400,60,0,3.0355435468330447,17.815149164799116,4.220799588324364
0.005,-0.02,0.01,imex_euler,120,400,60,0,3.035540394761396,17.815177453233503,4.220802939398321
0.005,-0.02,0.02,imex_euler,120,400,60,0,3.035908331381239,17.81824095110303,4.2211658284297515
0.01,0.0,0.02,imex_euler,120,400,60,0,3.0358935703711625,17.81862589643737,4.221211425223495
0.01,-0.005,0.02,imex_euler,120,400,60,0,3.0359587032715885,17.81909125179415,4.221266545930753
0.005,0.0,0.03,imex_euler,120,400,60,0,3.03600350220311,17.819422821862815,4.221305819514006
0.005,-0.005,0.03,imex_euler,120,400,60,0,3.0360415375697714,17.819514623355555,4.221316693089439
0.005,-0.01,0.03,imex_euler,120,400,60,0,3.0361374944912582,17.820090296324683,4.221384878961486
0.01,-0.01,0.02,imex_euler,120,400,60,0,3.0361428592828568,17.820634117713823,4.221449291145616
0.01,-0.02,0.01,imex_euler,120,400,60,0,3.036136559041549,17.820690852780665,4.221456010996759
0.005,-0.02,0.03,imex_euler,120,400,60,0,3.0365050382174346,17.82259790730911,4.221681881348843
0.01,-0.02,0.02,imex_euler,120,400,60,0,3.0368724365198827,17.826880418906782,4.222189055325067
0.01,0.0,0.03,imex_euler,120,400,60,0,3.037062763504839,17.82928004752282,4.222473214541783
0.01,-0.005,0.03,imex_euler,120,400,60,0,3.0371388468123626,17.829468750808896,4.222495559596114
0.01,-0.01,0.03,imex_euler,120,400,60,0,3.037330777540613,17.830642791521857,4.222634579444669
0.005,-0.01,0.05,imex_euler,120,400,60,0,3.037984888019227,17.83277920540481,4.222887543542311
0.005,-0.005,0.05,imex_euler,120,400,60,0,3.037861994399979,17.83293902776412,4.222906466850067
0.005,0.0,0.05,imex_euler,120,400,60,0,3.037796443976849,17.833500705669724,4.222972970037782
0.005,-0.02,0.05,imex_euler,120,400,60,0,3.038414707589382,17.83371033706574,4.222997790322148
0.01,-0.02,0.03,imex_euler,120,400,60,0,3.0380659406221016,17.835775085113937,4.223242247978908
0.01,-0.01,0.05,imex_euler,120,400,60,0,3.041026251616277,17.857142527394306,4.225771234626208
0.01,-0.005,0.05,imex_euler,120,400,60,0,3.0407802471387813,17.857334747594038,4.225793978365964
0.01,0.0,0.05,imex_euler,120,400,60,0,3.040648979472645,17.858394830008987,4.225919406473459
0.01,-0.02,0.05,imex_euler,120,400,60,0,3.0418865389094676,17.85950820624846,4.226051136255744
