lambda_jump,jump_mean,jump_std,scheme,N_S,N_t,rows_used,rows_failed,mae,mse,rmse
0.01,-0.02,0.05,imex_euler,120,400,60,0,0.3291820394391617,0.22276186165537265,0.47197654778110815
0.01,0.0,0.05,imex_euler,120,400,60,0,0.32918919200482627,0.22276540498769806,0.47198030148269754
0.01,-0.01,0.05,imex_euler,120,400,60,0,0.32918902033258085,0.22276562472803255,0.4719805342681333
0.01,-0.005,0.05,imex_euler,120,400,60,0,0.3291899851212733,0.22276603316382743,0.47198096695081615
0.005,-0.02,0.05,imex_euler,120,400,60,0,0.3292300096480864,0.2227896872067904,0.47200602454501617
0.005,0.0,0.05,imex_euler,120,400,60,0,0.32923358592492374,0.22279147707471988,0.47200792056354296
0.005,-0.01,0.05,imex_euler,120,400,60,0,0.3292335001130115,0.22279158363485735,0.4720080334431368
0.005,-0.005,0.05,imex_euler,120,400,60,0,0.3292339825010471,0.2227917908590597,0.47200825295651316
0.01,-0.02,0.03,imex_euler,120,400,60,0,0.32923530446568355,0.2227929205213421,0.47200944961021923
0.01,-0.01,0.03,imex_euler,120,400,60,0,0.3292447450312623,0.22279830163206477,0.47201514979083536
0.01,-0.005,0.03,imex_euler,120,400,60,0,0.3292468522690355,0.22279946871622558,0.4720163860675025
0.01,0.0,0.03,imex_euler,120,400,60,0,0.32924717718432117,0.22279959000629598,0.4720165145482687
0.01,-0.02,0.02,imex_euler,120,400,60,0,0.3292521276525274,0.22280268657680036,0.47201979468746896
0.005,-0.02,0.03,imex_euler,120,400,60,0,0.32925664244113856,0.22280528441070505,0.47202254650673736
0.005,-0.01,0.03,imex_euler,120,400,60,0,0.3292613627512038,0.2228079817099958,0.47202540367017937
0.01,-0.02,0.01,imex_euler,120,400,60,0,0.32926225309664614,0.22280855728427137,0.47202601335548383
0.005,-0.005,0.03,imex_euler,120,400,60,0,0.32926241637470405,0.22280856660186987,0.47202602322527715
0.01,-0.01,0.02,imex_euler,120,400,60,0,0.32926235486034655,0.2228085886624119,0.47202604659320646
0.005,0.0,0.03,imex_euler,120,400,60,0,0.32926257883163146,0.22280862759703216,0.47202608783522987
0.01,-0.005,0.02,imex_euler,120,400,60,0,0.3292648405783626,0.22281000954636038,0.472027551681425
0.005,-0.02,0.02,imex_euler,120,400,60,0,0.3292650540841196,0.2228101779083934,0.4720277300205925
0.01,0.0,0.02,imex_euler,120,400,60,0,0.3292655230360918,0.22281037485241822,0.47202793863543524
0.005,-0.02,0.01,imex_euler,120,400,60,0,0.32927011682693075,0.22281311704665732,0.472030843321342
0.005,-0.01,0.02,imex_euler,120,400,60,0,0.3292701677089157,0.2228131327403657,0.47203085994494653
0.005,-0.005,0.02,imex_euler,120,400,60,0,0.3292714105718057,0.2228138438264078,0.4720316131642115
0.005,0.0,0.02,imex_euler,120,400,60,0,0.32927175180144946,0.2228140266537842,0.4720318068242692
0.01,-0.01,0.01,imex_euler,120,400,60,0,0.3292729531644956,0.22281476300475872,0.472032586803876
0.005,-0.01,0.01,imex_euler,120,400,60,0,0.3292754668754559,0.22281622182874897,0.4720341320590588
0.01,-0.005,0.01,imex_euler,120,400,60,0,0.32927567137122543,0.22281634814816573,0.4720342658623055
0.01,0.0,0.01,imex_euler,120,400,60,0,0.32927657937460525,0.22281687318747925,0.4720348220073168
0.005,-0.005,0.01,imex_euler,120,400,60,0,0.329276825981115,0.22281701457544567,0.4720349717716323
0.0001,-0.02,0.05,imex_euler,120,400,60,0,0.32927702116797747,0.22281711957982017,0.47203508299682573
0.0001,0.0,0.05,imex_euler,120,400,60,0,0.32927709269338384,0.22281715573392177,0.47203512129281416
0.0001,-0.01,0.05,imex_euler,120,400,60,0,0.32927709097761654,0.22281715780025255,0.472035123481561
0.0001,-0.005,0.05,imex_euler,120,400,60,0,0.329277100625274,0.22281716200368928,0.4720351279340228
0.005,0.0,0.01,imex_euler,120,400,60,0,0.3292772799834432,0.2228172771257557,0.4720352498762732
0.0001,-0.02,0.03,imex_euler,120,400,60,0,0.3292775538293211,0.2228174328522389,0.4720354148284204
0.0001,-0.01,0.03,imex_euler,120,400,60,0,0.3292776482360701,0.22281748693043837,0.4720354721103472
0.0001,-0.005,0.03,imex_euler,120,400,60,0,0.32927766930861074,0.22281749865467956,0.4720354845291608
0.0001,0.0,0.03,imex_euler,120,400,60,0,0.3292776725577396,0.22281749988145977,0.4720354858286184
0.0001,-0.02,0.02,imex_euler,120,400,60,0,0.32927772206314265,0.22281753092741827,0.4720355187138128
0.0001,-0.02,0.01,imex_euler,120,400,60,0,0.32927782331840577,0.22281758978432908,0.4720355810575396
0.0001,-0.01,0.02,imex_euler,120,400,60,0,0.32927782433604275,0.2228175900982902,0.4720355813901005
0.0001,-0.005,0.02,imex_euler,120,400,60,0,0.3292778491933924,0.22281760433265607,0.47203559646774107
0.0001,0.0,0.02,imex_euler,120,400,60,0,0.32927785601800663,0.22281760799264533,0.47203560034455594
0.0001,-0.01,0.01,imex_euler,120,400,60,0,0.3292779303196618,0.2228176519176368,0.47203564687175564
0.0001,-0.005,0.01,imex_euler,120,400,60,0,0.3292779575018281,0.22281766777601916,0.4720356636696206
0.0001,0.0,0.01,imex_euler,120,400,60,0,0.3292779665818672,0.22281767302758543,0.4720356692323001
0.0,0.0,0.01,imex_euler,120,400,60,0,0.3292779805940479,0.22281768110760206,0.47203567779099287
