date,exdate,cp_flag,spot_price,strike_price,tau (time to maturity),market_mid_price,model_price,abs_error,sq_error,scheme
2025-07-01,2025-08-01,P,130.68,100.0,0.084931506849315,0.86,0.8661159535498257,0.006115953549825748,3.7404887823626164e-05,crank_nicolson
2025-07-01,2025-08-01,P,130.68,100.0,0.084931506849315,0.86,0.866512586485813,0.006512586485812988,4.2413782735193964e-05,crank_nicolson
2025-07-01,2025-08-01,P,130.68,105.0,0.084931506849315,1.205,1.199473680000259,0.0055263199997410695,3.054021273953813e-05,crank_nicolson
2025-07-01,2025-08-01,P,130.68,105.0,0.084931506849315,1.205,1.2000332420697688,0.004966757930231269,2.4668684337515202e-05,crank_nicolson
2025-07-01,2025-08-01,C,130.68,110.0,0.084931506849315,23.075,22.967926434316297,0.1070735656837023,0.01146474846822211,crank_nicolson
2025-07-01,2025-08-01,C,130.68,110.0,0.084931506849315,23.075,22.96375722746569,0.11124277253431103,0.012374954441120464,crank_nicolson
2025-07-01,2025-08-01,P,130.68,110.0,0.084931506849315,1.805,1.8193721412331707,0.014372141233170765,0.0002065584436262073,crank_nicolson
2025-07-01,2025-08-01,P,130.68,110.0,0.084931506849315,1.805,1.820185313637589,0.015185313637589015,0.00023059375027194694,crank_nicolson
2025-07-01,2025-08-01,P,130.68,115.0,0.084931506849315,2.655,2.689707756383547,0.034707756383547395,0.0012046283531796749,crank_nicolson
2025-07-01,2025-08-01,P,130.68,115.0,0.084931506849315,2.655,2.690838435661024,0.03583843566102418,0.0012843934706293697,crank_nicolson
2025-07-01,2025-08-01,C,130.68,120.0,0.084931506849315,15.175,14.918066947020744,0.2569330529792566,0.06601459371324149,crank_nicolson
2025-07-01,2025-08-01,C,130.68,120.0,0.084931506849315,15.175,14.914445091726028,0.26055490827397243,0.06788886022565818,crank_nicolson
2025-07-01,2025-08-01,P,130.68,120.0,0.084931506849315,3.925,3.881623765398188,0.043376234601811614,0.0018814977282313992,crank_nicolson
2025-07-01,2025-08-01,P,130.68,120.0,0.084931506849315,3.925,3.8831713911569317,0.04182860884306816,0.0017496325177463999,crank_nicolson
2025-07-01,2025-08-01,P,130.68,123.0,0.084931506849315,4.9,4.935510335435447,0.035510335435446905,0.0012609839227379562,crank_nicolson
2025-07-01,2025-08-01,P,130.68,123.0,0.084931506849315,4.9,4.937354941352498,0.03735494135249784,0.001395391643448553,crank_nicolson
2025-07-01,2025-08-01,P,130.68,124.0,0.084931506849315,5.175,5.0276110263600176,0.14738897363998227,0.021723509550647387,crank_nicolson
2025-07-01,2025-08-01,P,130.68,124.0,0.084931506849315,5.175,5.029531586685662,0.14546841331433757,0.021161059272190946,crank_nicolson
2025-07-01,2025-08-01,P,130.68,125.0,0.084931506849315,5.55,5.460490190454461,0.08950980954553867,0.008012006004878605,crank_nicolson
2025-07-01,2025-08-01,P,130.68,125.0,0.084931506849315,5.55,5.461883171730727,0.08811682826927303,0.007764575424236554,crank_nicolson
2025-07-01,2025-08-01,P,130.68,126.0,0.084931506849315,6.050000000000001,6.145965291444217,0.09596529144421595,0.009209337161973308,crank_nicolson
2025-07-01,2025-08-01,P,130.68,126.0,0.084931506849315,6.050000000000001,6.147476819366718,0.09747681936671704,0.009501730313851582,crank_nicolson
2025-07-01,2025-08-01,P,130.68,127.0,0.084931506849315,6.375,6.3990890564382354,0.024089056438235446,0.0005802826400844926,crank_nicolson
2025-07-01,2025-08-01,P,130.68,127.0,0.084931506849315,6.375,6.400668433365912,0.025668433365911625,0.0006588684714602451,crank_nicolson
2025-07-01,2025-08-01,P,130.68,128.0,0.084931506849315,6.825,6.943618190655592,0.11861819065559143,0.014070275154406238,crank_nicolson
2025-07-01,2025-08-01,P,130.68,128.0,0.084931506849315,6.825,6.9452889262759765,0.12028892627597632,0.014469425784627265,crank_nicolson
2025-07-01,2025-08-01,C,130.68,129.0,0.084931506849315,9.625,9.439612033391727,0.18538796660827295,0.03436869816315013,crank_nicolson
2025-07-01,2025-08-01,C,130.68,129.0,0.084931506849315,9.625,9.437728600934422,0.18727139906557788,0.03507057690797893,crank_nicolson
2025-07-01,2025-08-01,P,130.68,129.0,0.084931506849315,7.275,7.0636400363559355,0.21135996364406484,0.04467303423162041,crank_nicolson
2025-07-01,2025-08-01,P,130.68,129.0,0.084931506849315,7.275,7.065332434826891,0.2096675651731097,0.0439604878856202,crank_nicolson
2025-07-01,2025-08-01,C,130.68,130.0,0.084931506849315,9.075,8.834549220717255,0.24045077928274416,0.05781657725767895,crank_nicolson
